knapPI_1_200_10000_100
n 200
c 938372
z 987037
time 0.00
1,3283,4889,1
2,9636,7301,1
3,1253,4139,1
4,9009,7476,1
5,9015,9141,1
6,5726,2627,1
7,1903,3862,1
8,9545,6197,1
9,7124,5438,1
10,8072,6451,1
11,2956,4845,1
12,1008,8708,1
13,6896,8821,1
14,9191,3877,1
15,8972,9390,1
16,4193,1254,1
17,6883,86,1
18,3239,9521,1
19,4272,1954,1
20,1831,791,1
21,6423,5190,1
22,4740,5849,1
23,3641,7277,1
24,2493,48,1
25,294,8806,1
26,5932,8777,1
27,6605,7339,1
28,1445,2129,1
29,687,5039,1
30,1406,7960,1
31,5554,9667,1
32,1645,6293,1
33,7569,5317,1
34,7132,7910,1
35,3201,3221,1
36,5786,3106,1
37,4078,2901,1
38,1932,6798,1
39,7252,6141,1
40,6241,2344,1
41,9209,1048,1
42,1683,4867,1
43,1271,5823,1
44,8600,1183,1
45,5032,6352,1
46,3624,4692,1
47,6714,2507,1
48,3754,7803,1
49,8162,9288,1
50,4167,5017,1
51,156,120,1
52,912,9689,1
53,800,3670,1
54,2314,4949,1
55,7841,7290,1
56,7223,1985,1
57,5616,2394,1
58,8113,9652,1
59,9629,813,1
60,7760,6115,1
61,6141,3790,1
62,7371,988,1
63,1143,7145,1
64,7531,3852,1
65,7912,357,1
66,4586,2701,1
67,1862,7326,1
68,2619,6576,1
69,8994,4349,1
70,3315,6467,1
71,1846,4487,1
72,5460,1759,1
73,2030,5295,1
74,4971,5328,1
75,5828,1513,1
76,8927,8642,1
77,3107,4988,1
78,5210,2516,1
79,2365,1570,1
80,9653,460,1
81,9912,2927,1
82,5851,6503,1
83,2995,8652,1
84,5583,8091,1
85,8982,8799,1
86,7930,4763,1
87,8839,617,1
88,716,4949,1
89,4409,6491,1
90,7076,6700,1
91,3967,7782,1
92,2363,8446,1
93,7743,6462,1
94,6266,6449,1
95,641,505,1
96,9292,7582,1
97,838,3274,1
98,29,7354,0
99,6886,805,1
100,2738,4061,1
101,3586,2494,1
102,2659,5425,1
103,3448,6979,1
104,2051,7161,1
105,644,8338,1
106,2672,2075,1
107,1763,2968,1
108,5670,4748,1
109,8659,5128,1
110,1086,3398,1
111,3879,1412,1
112,5251,9336,1
113,5543,2842,1
114,9381,5290,1
115,3267,1502,1
116,6726,1132,1
117,1496,6608,1
118,5698,554,1
119,2603,570,1
120,7052,1278,1
121,4131,5129,1
122,3716,6002,1
123,9843,7413,1
124,3316,9232,1
125,4677,3854,1
126,5786,3064,1
127,1266,453,1
128,7343,7453,1
129,4925,2036,1
130,9638,1324,1
131,3504,1179,1
132,1184,1066,1
133,4541,7720,1
134,8844,297,1
135,3719,5890,1
136,5405,5751,1
137,4922,3266,1
138,9235,3092,1
139,4,7279,0
140,1355,4173,1
141,7879,8276,1
142,7298,1770,1
143,5095,9056,1
144,1253,736,1
145,8653,3242,1
146,2420,9427,1
147,9214,1759,1
148,7188,4092,1
149,6454,2538,1
150,6948,2723,1
151,8318,9198,1
152,376,6154,1
153,5005,3603,1
154,497,2741,1
155,7082,3371,1
156,8349,5577,1
157,4367,9279,1
158,2490,6416,1
159,9769,571,1
160,1158,5990,1
161,1164,7874,1
162,9683,1396,1
163,1907,6191,1
164,8454,9111,1
165,2822,1898,1
166,4862,1963,1
167,9172,4,1
168,3697,5465,1
169,7647,1407,1
170,8434,4938,1
171,6264,8668,1
172,4079,5031,1
173,8047,4034,1
174,9207,4095,1
175,5356,4680,1
176,1385,3060,1
177,6156,1951,1
178,263,1698,1
179,8019,1519,1
180,6426,1773,1
181,4304,1532,1
182,1807,5510,1
183,9374,6885,1
184,7422,3033,1
185,1686,2010,1
186,171,614,1
187,6722,8679,1
188,4453,1290,1
189,5901,9185,1
190,4012,5290,1
191,7510,9211,1
192,3105,6876,1
193,2483,5573,1
194,6565,7905,1
195,241,5426,1
196,6819,3075,1
197,2922,357,1
198,3225,8839,1
199,320,9608,1
200,113,3214,1
-----

